ANNES;Gaz naturel;Electricité;Charbon;Produits pétroliers;Consommation totale;Consommation ee distribuée par l'ONE;taux de dependance 
2010;0,9;6,7;31;61,5;10867;7449;96,7
2011;3,7;6,4;30,1;59,8;12901;10328;97,5
2012;3,9;8,8;28,5;58,8;13734;11284;94,6
2013;3,6;9,6;25,3;61,4;14764;11936;93
2014;3,9;13;23;60,1;15139;12325;95,6
2015;3,9;13;21,7;61,4;16150;13323;96,2
2016;5,6;12,3;23,8;58,3;17959;15677;94,2
2017;5,8;12,9;26,2;55,1;19694;17375;93,5
2018;5,5;13,2;25,5;55,9;20808;18368;93,9
2019;4,9;12,3;29;53,9;20898;17688;91,6
2020;4,4;7,9;35;52,7;21743;17539;90,6
